Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected
P32,F127,JetBlue,DEN,JFK,2024-03-20 19:22:08,224,On-time,875,325.89,49,Male,Medium,Business,Economy,1,Platinum,Online,9.1,2.0,63,0,0,Window
P33,F602,United,SFO,LAX,2024-09-19 07:53:40,241,Delayed,1188,416.78,37,Male,High,Leisure,Economy,1,Silver,Airport Kiosk,5.7,0.0,109,0,0,Window
P34,F186,American Airlines,LAX,ATL,2023-07-06 20:34:40,115,On-time,1622,270.02,76,Female,Medium,Family,Premium Economy,1,None,Online,6.5,14.0,7,0,1,Middle
P35,F699,American Airlines,ORD,SFO,2024-01-09 11:27:32,146,On-time,1435,403.37,44,Male,Medium,Family,Economy,0,None,Desk,7.8,0.0,96,0,0,Middle
P36,F215,Delta,LAX,DFW,2024-01-30 02:16:49,218,On-time,2558,430.53,31,Female,High,Family,Economy,1,Silver,Airport Kiosk,9.1,7.0,90,0,0,Middle
P37,F1221,American Airlines,DFW,JFK,2023-08-18 11:53:56,262,Cancelled,1198,284.82,70,Female,Low,Emergency,Economy,0,Gold,Airport Kiosk,5.8,8.0,43,0,0,Middle
P38,F117,American Airlines,DFW,SFO,2023-08-14 12:46:20,187,On-time,986,292.8,69,Male,High,Leisure,Economy,1,Silver,Mobile App,6.5,16.0,34,0,0,Middle
P39,F807,JetBlue,ATL,LAX,2024-06-25 08:10:02,291,On-time,1030,497.05,60,Female,Medium,Leisure,Economy,0,Silver,Mobile App,7.7,3.0,63,0,0,Window
P40,F657,Delta,ATL,LAX,2024-10-16 09:50:05,92,On-time,1231,325.8,44,Male,Medium,Emergency,Economy,2,Silver,Mobile App,4.2,0.0,79,0,0,Aisle
P41,F1353,American Airlines,JFK,ATL,2023-11-15 21:25:13,182,Delayed,938,239.45,66,Female,Low,Family,Economy,1,None,Desk,9.4,13.0,92,0,0,Middle
P42,F1179,Delta,LAX,DEN,2023-11-14 06:00:32,92,On-time,1458,370.34,21,Male,Medium,Business,Economy,2,None,Desk,8.5,0.0,107,0,1,Middle
P43,F1036,Southwest,DFW,ATL,2025-04-18 01:08:33,179,On-time,925,398.66,50,Female,Medium,Leisure,Economy,1,None,Mobile App,6.7,28.0,70,0,0,Window
P44,F229,American Airlines,SFO,SEA,2023-12-13 06:55:30,218,On-time,1241,466.83,42,Female,Medium,Emergency,Business,1,Silver,Mobile App,7.3,14.0,88,0,0,Middle
P45,F1553,JetBlue,ORD,DEN,2024-03-31 08:11:06,158,On-time,1134,320.68,72,Female,High,Leisure,Economy,1,None,Mobile App,8.0,8.0,68,0,0,Window
P46,F1759,JetBlue,LAX,ORD,2023-08-28 02:18:07,165,On-time,1479,352.61,30,Male,Low,Leisure,Economy,1,Silver,Mobile App,8.5,9.0,12,0,0,Middle
P47,F726,JetBlue,JFK,DFW,2025-01-20 05:45:18,89,Cancelled,1096,315.38,37,Male,Medium,Business,Premium Economy,1,None,Online,6.2,1.0,48,0,0,Middle
P48,F121,Southwest,DEN,SFO,2025-01-16 00:19:18,261,Delayed,1301,449.12,38,Male,High,Family,Economy,0,Gold,Airport Kiosk,9.1,6.0,115,0,0,Middle
P49,F1441,JetBlue,JFK,DEN,2023-06-05 23:34:32,145,On-time,1441,219.72,25,Male,Medium,Family,Premium Economy,2,None,Airport Kiosk,8.4,26.0,26,0,0,Middle
P50,F1698,JetBlue,DEN,JFK,2023-05-23 17:58:48,268,On-time,1286,122.7,29,Male,High,Emergency,Economy,0,None,Mobile App,4.9,11.0,112,0,0,Middle
P51,F362,American Airlines,SEA,DFW,2023-11-12 21:50:20,186,On-time,1212,375.59,39,Female,Medium,Business,Economy,2,Platinum,Online,8.5,13.0,6,0,0,Window
P52,F1577,JetBlue,SEA,LAX,2025-02-09 16:35:21,193,On-time,1204,229.09,67,Female,Low,Leisure,Premium Economy,0,None,Online,8.0,8.0,109,0,0,Window
P53,F670,JetBlue,JFK,JFK,2024-02-07 02:13:32,29,On-time,703,467.72,22,Male,Medium,Family,Premium Economy,4,None,Airport Kiosk,8.5,2.0,64,0,1,Window
P54,F1540,Southwest,ATL,ATL,2023-10-11 12:39:05,173,On-time,1071,552.38,42,Male,Medium,Business,Business,2,None,Desk,5.6,5.0,6,0,1,Aisle
P55,F1222,Southwest,DFW,SFO,2024-05-16 12:49:40,59,Delayed,898,477.94,54,Female,Low,Emergency,Economy,1,Platinum,Airport Kiosk,5.2,18.0,18,0,1,Window
P56,F1537,United,DFW,DEN,2024-11-18 12:59:18,77,On-time,1149,229.74,18,Male,Medium,Family,Economy,1,None,Online,5.2,15.0,102,0,0,Aisle
P57,F1982,United,ORD,ATL,2023-06-28 10:28:56,115,On-time,1188,234.94,41,Male,Low,Leisure,Economy,1,Gold,Online,6.8,12.0,42,0,0,Window
P58,F1995,United,ATL,DEN,2024-09-10 08:04:30,261,On-time,1143,429.73,79,Female,Low,Leisure,Economy,3,Gold,Online,9.3,3.0,97,0,0,Middle
P59,F571,United,SFO,ORD,2024-01-12 19:55:12,157,On-time,974,199.88,31,Male,Medium,Family,Economy,1,None,Online,6.1,2.0,41,0,0,Window
P60,F1972,Delta,JFK,DFW,2025-02-01 03:06:41,233,On-time,1440,361.13,25,Male,Low,Emergency,Premium Economy,1,None,Online,10.0,8.0,83,0,0,Window
P61,F959,JetBlue,SEA,LAX,2023-10-01 19:16:01,180,Delayed,1101,359.21,18,Female,High,Leisure,Premium Economy,0,None,Online,8.0,51.0,6,0,0,Middle
P62,F237,JetBlue,DEN,ATL,2025-04-10 04:15:22,216,On-time,803,422.63,44,Male,High,Family,Economy,1,None,Mobile App,6.7,5.0,92,0,0,Aisle
P63,F1,United,DFW,SEA,2024-02-17 13:14:56,168,On-time,1388,250.22,75,Male,Medium,Emergency,Premium Economy,0,None,Desk,6.1,56.0,81,1,0,Aisle
P64,F444,United,ATL,LAX,2023-11-13 03:11:59,275,On-time,1242,456.75,24,Female,Low,Business,Premium Economy,2,Gold,Mobile App,9.0,1.0,95,0,0,Middle
P65,F1874,American Airlines,LAX,DEN,2023-07-12 07:10:14,181,On-time,1097,353.16,69,Female,High,Business,Premium Economy,0,None,Mobile App,7.7,4.0,6,0,0,Window
P66,F109,Southwest,LAX,JFK,2024-02-19 18:47:19,148,On-time,1452,366.41,76,Male,Medium,Business,Economy,1,Silver,Desk,8.3,22.0,79,0,0,Window
P67,F530,American Airlines,DFW,ORD,2024-12-01 02:09:14,93,Delayed,1698,376.59,56,Male,Low,Business,Economy,1,None,Online,8.7,2.0,21,0,0,Middle
P68,F1668,Southwest,LAX,DEN,2023-06-01 07:19:07,147,On-time,1589,234.32,54,Male,Medium,Business,Premium Economy,3,Silver,Online,5.6,6.0,99,0,0,Window
P69,F751,American Airlines,SEA,ORD,2023-10-02 13:56:12,98,On-time,1058,295.42,53,Female,High,Leisure,Premium Economy,3,None,Desk,7.3,9.0,13,0,0,Window
P70,F1731,American Airlines,SEA,DFW,2023-09-30 21:20:58,274,Delayed,1483,179.04,29,Female,Low,Family,Economy,0,Gold,Desk,5.2,5.0,58,0,1,Aisle
P71,F1956,Southwest,SEA,DFW,2023-12-19 05:14:06,182,Delayed,1298,358.52,62,Male,Medium,Emergency,Economy,3,Platinum,Online,6.4,8.0,51,0,0,Middle
P72,F899,JetBlue,LAX,DFW,2023-09-09 10:02:54,229,On-time,595,324.11,34,Female,High,Leisure,Economy,0,None,Mobile App,7.0,19.0,63,0,0,Middle
P73,F1648,Delta,DEN,ATL,2024-04-14 18:13:16,205,On-time,1572,382.08,42,Male,Low,Leisure,Economy,1,Silver,Mobile App,7.5,11.0,66,0,0,Window
P74,F771,Delta,DFW,DFW,2024-11-13 20:10:16,282,On-time,1074,353.37,64,Female,Medium,Family,Economy,0,Platinum,Online,4.4,7.0,116,0,0,Window
P75,F826,JetBlue,ATL,SEA,2024-04-11 04:24:58,230,On-time,1585,442.67,29,Male,Low,Business,Premium Economy,0,None,Mobile App,6.9,3.0,80,0,0,Window
P76,F1892,JetBlue,ATL,DEN,2023-08-26 15:03:45,174,On-time,1263,273.51,22,Male,Low,Business,Premium Economy,0,Gold,Online,9.0,0.0,51,0,0,Middle
P77,F1831,American Airlines,ORD,DFW,2023-05-06 20:07:42,198,On-time,1022,262.13,58,Male,Medium,Family,Premium Economy,1,None,Desk,6.4,10.0,63,0,0,Aisle
P78,F1272,Southwest,ORD,DEN,2025-03-14 20:19:08,176,On-time,859,438.25,27,Female,Medium,Emergency,Economy,1,Silver,Mobile App,7.6,8.0,32,0,0,Aisle
P79,F1993,American Airlines,ATL,ORD,2024-05-06 07:46:24,173,On-time,950,339.86,27,Female,Medium,Leisure,Economy,1,Silver,Mobile App,6.8,11.0,19,0,0,Window
P80,F1742,Southwest,JFK,SEA,2023-12-20 12:20:07,153,On-time,1061,440.78,59,Male,Low,Business,Economy,4,Gold,Online,6.5,3.0,9,0,1,Middle
P81,F1367,Delta,LAX,DEN,2024-06-25 04:17:15,167,On-time,1178,273.8,25,Female,Low,Emergency,Business,0,Gold,Online,7.4,24.0,21,0,0,Middle
P82,F740,American Airlines,DEN,DEN,2024-04-12 04:12:50,201,On-time,1042,538.42,51,Female,High,Leisure,Premium Economy,0,Platinum,Desk,6.5,22.0,64,0,1,Middle
P83,F36,United,DFW,DFW,2024-12-01 06:57:06,193,On-time,1434,316.76,48,Male,Medium,Family,Economy,0,Gold,Desk,7.8,4.0,14,0,0,Middle
P84,F1141,United,JFK,ATL,2024-03-18 03:44:08,256,On-time,895,285.22,40,Male,Low,Emergency,Premium Economy,1,None,Desk,8.6,7.0,23,0,1,Aisle
P85,F582,American Airlines,ORD,LAX,2024-09-23 20:10:54,227,On-time,1566,353.57,67,Male,High,Leisure,Economy,1,None,Desk,7.6,8.0,119,0,0,Window
P86,F660,Delta,ATL,DFW,2024-11-01 18:01:48,172,On-time,749,451.07,30,Male,Low,Family,Economy,2,Silver,Airport Kiosk,5.9,4.0,69,0,0,Middle
P87,F832,United,SFO,DFW,2025-01-30 14:45:42,243,On-time,611,294.39,66,Male,Low,Emergency,Economy,2,None,Online,7.5,16.0,47,0,0,Window
P88,F1776,Southwest,LAX,LAX,2023-11-24 02:48:41,175,Delayed,1262,270.98,39,Male,Medium,Business,Economy,2,None,Airport Kiosk,8.2,23.0,27,1,0,Window
P89,F495,American Airlines,JFK,DEN,2023-06-21 13:52:16,145,Delayed,1093,409.72,20,Male,High,Family,Economy,1,Gold,Airport Kiosk,4.9,5.0,22,0,0,Aisle
P90,F405,United,ORD,SEA,2024-08-23 02:59:58,200,On-time,1180,334.44,57,Male,Medium,Business,Economy,1,None,Online,5.1,0.0,115,0,0,Aisle
P91,F60,Southwest,ORD,SFO,2024-06-10 10:46:31,160,Cancelled,1101,286.77,40,Female,Medium,Emergency,Economy,2,Platinum,Mobile App,4.8,4.0,99,0,1,Aisle
P92,F1659,Southwest,DFW,DFW,2023-12-17 10:50:47,121,On-time,836,457.72,37,Female,Low,Business,Economy,1,Gold,Mobile App,7.6,1.0,29,0,0,Aisle
P93,F589,JetBlue,DFW,LAX,2024-03-18 22:45:40,197,On-time,999,327.74,55,Female,Medium,Leisure,Premium Economy,0,None,Mobile App,8.5,32.0,20,0,0,Window
P94,F116,United,SFO,JFK,2023-10-01 13:07:14,249,On-time,1468,347.0,55,Male,Low,Business,Economy,2,None,Online,6.3,4.0,28,0,0,Window
P95,F159,Delta,ORD,SEA,2024-05-12 05:39:11,250,Delayed,1436,258.18,62,Male,Low,Leisure,Economy,0,Silver,Online,4.1,2.0,101,0,0,Middle
P96,F1291,JetBlue,ATL,ATL,2023-05-04 14:50:44,254,On-time,1216,412.23,74,Male,Low,Emergency,Business,0,None,Desk,5.9,7.0,108,0,0,Middle
P97,F1829,Southwest,LAX,DEN,2023-10-11 22:09:48,111,Delayed,921,400.97,36,Female,Medium,Emergency,Economy,1,Gold,Mobile App,7.5,23.0,21,0,0,Middle
P98,F561,JetBlue,LAX,LAX,2024-11-07 22:46:15,158,Cancelled,1275,274.51,37,Male,Medium,Family,Economy,0,Silver,Online,8.0,15.0,90,0,0,Aisle
P99,F1104,American Airlines,SFO,ORD,2025-03-24 07:35:17,209,Delayed,1142,364.28,56,Male,Medium,Leisure,Business,1,Silver,Mobile App,7.1,5.0,111,0,1,Aisle
P100,F619,American Airlines,DEN,DEN,2023-07-06 05:31:49,131,On-time,1361,265.69,73,Female,Low,Emergency,Economy,1,None,Mobile App,7.2,47.0,85,0,0,Middle
P101,F146,Southwest,SEA,SEA,2023-05-15 01:27:24,221,On-time,889,492.83,25,Male,Low,Business,Economy,0,Silver,Airport Kiosk,6.0,10.0,38,0,0,Aisle
P102,F1655,American Airlines,DEN,JFK,2024-08-02 17:46:21,215,On-time,1439,435.41,73,Male,Low,Emergency,First,3,Silver,Online,8.3,22.0,101,0,0,Window
P103,F542,Delta,SFO,SFO,2023-09-17 07:54:36,194,On-time,877,204.43,64,Female,High,Leisure,Economy,1,None,Mobile App,6.5,1.0,12,0,0,Middle
P104,F121,United,LAX,ORD,2023-09-29 01:35:30,125,Delayed,666,261.46,59,Male,High,Leisure,Economy,1,None,Mobile App,5.9,28.0,36,0,1,Window
P105,F1320,Delta,DEN,SEA,2024-04-03 17:13:32,244,On-time,1305,235.2,51,Female,High,Emergency,First,4,Silver,Airport Kiosk,4.9,1.0,57,0,0,Window
P106,F866,Southwest,DFW,DFW,2024-11-10 04:44:00,205,On-time,1827,350.71,42,Male,Medium,Leisure,Economy,1,Silver,Desk,5.5,5.0,89,0,0,Window
P107,F292,Southwest,ATL,JFK,2025-04-04 15:26:34,161,On-time,1390,195.0,75,Male,High,Emergency,Economy,4,Silver,Airport Kiosk,6.7,1.0,4,0,0,Aisle
P108,F1328,American Airlines,LAX,ORD,2024-02-22 20:02:26,104,On-time,901,220.59,30,Male,Medium,Family,Economy,2,None,Airport Kiosk,5.7,4.0,116,0,0,Middle
P109,F910,American Airlines,ATL,DEN,2024-07-27 12:19:36,157,Delayed,1073,305.67,53,Male,Medium,Leisure,Economy,1,None,Mobile App,6.6,1.0,104,0,0,Window
P110,F15,American Airlines,DEN,ORD,2023-10-27 12:24:58,202,On-time,1303,260.88,47,Female,Medium,Emergency,Economy,1,Platinum,Desk,7.8,15.0,50,0,0,Middle
P111,F249,United,DEN,DFW,2023-09-09 23:52:14,131,On-time,1592,311.31,74,Female,Medium,Family,Economy,1,None,Mobile App,9.7,1.0,60,1,0,Aisle
P112,F967,United,SFO,JFK,2024-10-12 21:37:15,105,On-time,1518,342.85,29,Female,High,Business,Premium Economy,3,Silver,Airport Kiosk,5.9,10.0,21,0,1,Middle
P113,F894,Southwest,SFO,ATL,2024-03-08 01:25:44,242,On-time,950,506.77,62,Male,Medium,Family,Business,5,Platinum,Airport Kiosk,8.3,3.0,79,0,0,Aisle
P114,F1596,Delta,ATL,DEN,2025-03-14 14:00:04,133,Cancelled,925,329.48,29,Male,Medium,Emergency,Economy,2,Gold,Desk,9.5,7.0,8,0,0,Middle
P115,F1029,JetBlue,SEA,SEA,2024-04-26 02:25:06,261,On-time,1094,249.95,63,Female,High,Business,Premium Economy,0,None,Online,7.6,6.0,55,0,0,Aisle
P116,F590,JetBlue,JFK,SFO,2024-07-07 02:14:05,146,On-time,1255,455.03,71,Female,Medium,Business,Business,0,Silver,Airport Kiosk,7.2,5.0,66,0,0,Middle
P117,F1014,American Airlines,LAX,DFW,2023-05-26 10:35:42,156,On-time,1107,300.33,54,Male,Low,Emergency,Economy,1,Gold,Desk,7.6,3.0,58,1,0,Aisle
P118,F472,Delta,SFO,ATL,2023-11-16 03:31:58,145,Delayed,979,363.47,67,Female,Medium,Leisure,Economy,2,Silver,Airport Kiosk,7.4,0.0,24,1,0,Window
P119,F1697,American Airlines,JFK,SEA,2023-12-07 12:28:21,204,Delayed,985,151.12,26,Male,High,Leisure,Economy,1,Gold,Desk,5.6,9.0,17,0,0,Window
P120,F1043,United,SEA,LAX,2023-12-28 10:40:54,155,On-time,832,344.5,51,Male,Medium,Family,Economy,1,None,Mobile App,8.2,2.0,27,0,1,Aisle
P121,F1965,American Airlines,DFW,LAX,2024-11-26 21:32:09,237,On-time,1775,384.83,25,Male,Medium,Emergency,Economy,0,Silver,Mobile App,6.8,6.0,67,0,1,Aisle
P122,F1475,United,ATL,ORD,2024-04-29 05:54:23,140,On-time,1306,128.22,79,Male,Medium,Leisure,Premium Economy,3,Silver,Mobile App,7.6,6.0,101,0,0,Window
P123,F1349,United,SEA,ORD,2023-07-31 01:34:01,117,On-time,1450,260.06,61,Male,Medium,Family,Premium Economy,1,None,Desk,8.8,3.0,9,0,0,Aisle
P124,F539,American Airlines,DFW,DEN,2024-10-27 11:28:23,252,On-time,1480,546.65,32,Male,Low,Family,Economy,1,None,Online,6.0,1.0,43,0,0,Aisle
P125,F1332,Southwest,LAX,SEA,2023-12-05 10:17:05,208,Cancelled,1130,333.91,29,Male,Medium,Leisure,Economy,1,None,Online,4.8,12.0,98,0,0,Aisle
P126,F940,American Airlines,JFK,SEA,2024-06-22 04:31:59,264,Delayed,1103,177.53,45,Male,Low,Family,Economy,2,None,Mobile App,8.8,5.0,99,0,0,Window
P127,F913,United,ATL,ATL,2025-04-11 17:28:39,94,On-time,1395,402.89,45,Female,Low,Leisure,Economy,3,None,Online,7.1,22.0,117,0,0,Middle
P128,F1539,American Airlines,SEA,ORD,2024-02-16 15:15:12,200,On-time,1294,428.48,42,Female,Low,Emergency,Business,3,Platinum,Mobile App,5.7,7.0,7,0,0,Middle
P129,F1437,JetBlue,SFO,ORD,2023-07-19 21:38:07,164,On-time,1125,316.42,62,Male,High,Emergency,Economy,0,Silver,Online,5.9,0.0,39,0,0,Aisle
P130,F345,JetBlue,SFO,LAX,2024-04-03 23:05:55,189,On-time,837,473.92,31,Female,High,Emergency,Business,3,None,Online,9.0,11.0,86,0,0,Aisle
P131,F349,JetBlue,LAX,LAX,2023-05-11 17:08:11,191,On-time,1288,532.86,29,Female,Low,Business,Economy,1,Platinum,Mobile App,7.5,6.0,104,0,1,Window
P132,F747,United,JFK,SFO,2023-07-08 15:21:17,255,On-time,1044,382.4,43,Female,Low,Family,Economy,1,Platinum,Desk,7.5,1.0,2,0,0,Window
P133,F1572,American Airlines,LAX,SFO,2024-12-26 00:15:55,132,On-time,935,294.25,19,Male,Medium,Leisure,Premium Economy,2,Silver,Mobile App,8.5,13.0,78,0,0,Aisle
P134,F33,Delta,ORD,SFO,2024-07-19 18:07:21,168,On-time,1251,374.44,77,Male,High,Family,Economy,2,None,Airport Kiosk,6.2,8.0,7,0,1,Aisle
P135,F1202,JetBlue,DFW,ORD,2024-01-28 10:20:31,143,On-time,1496,245.25,57,Female,Medium,Family,Economy,2,None,Online,6.7,27.0,104,0,0,Aisle
P136,F1104,JetBlue,LAX,SFO,2024-12-27 06:16:44,217,On-time,839,330.76,60,Male,High,Leisure,Premium Economy,0,Silver,Mobile App,7.2,15.0,23,0,0,Middle
P137,F1672,Southwest,DEN,SFO,2025-04-11 15:06:57,188,On-time,1352,476.48,76,Male,High,Leisure,Economy,2,None,Desk,8.7,12.0,100,0,0,Window
P138,F36,Delta,LAX,DEN,2024-10-19 15:45:52,286,On-time,1903,339.92,71,Male,Low,Leisure,Economy,0,None,Desk,7.1,3.0,119,0,0,Window
P139,F101,JetBlue,ORD,DFW,2023-05-21 20:12:18,152,On-time,1072,285.5,26,Male,High,Emergency,Business,1,None,Airport Kiosk,9.1,19.0,118,0,0,Window
P140,F1632,Southwest,ATL,ATL,2023-12-09 20:31:32,172,On-time,1369,298.4,51,Male,Medium,Business,Business,1,Silver,Desk,6.4,37.0,22,0,0,Window
P141,F367,Delta,DFW,SEA,2023-06-28 15:51:01,252,On-time,615,168.01,68,Female,Medium,Leisure,Premium Economy,1,None,Online,8.1,3.0,53,1,0,Middle
P142,F467,Southwest,ATL,DEN,2024-05-12 00:28:53,145,Delayed,1025,418.9,33,Female,High,Leisure,Premium Economy,3,None,Mobile App,6.5,18.0,107,0,0,Window
P143,F1873,JetBlue,DFW,LAX,2024-11-04 05:44:48,181,On-time,1249,176.04,37,Female,Medium,Leisure,Economy,3,Platinum,Mobile App,5.5,6.0,45,0,0,Aisle
P144,F1775,United,ORD,ATL,2024-07-19 14:07:59,204,On-time,1568,339.62,54,Male,Medium,Leisure,Economy,1,None,Online,10.0,4.0,58,0,0,Aisle
P145,F1924,JetBlue,LAX,ORD,2024-06-06 13:14:36,319,On-time,1294,388.28,74,Female,Low,Family,Economy,0,None,Online,5.6,3.0,78,0,0,Aisle
P146,F1557,United,SEA,DFW,2023-10-03 09:15:45,225,On-time,1136,303.95,60,Female,Low,Emergency,Premium Economy,1,Silver,Airport Kiosk,6.1,13.0,72,0,1,Aisle
P147,F1675,JetBlue,ATL,DFW,2023-11-12 11:19:56,203,On-time,1780,203.9,36,Female,Medium,Family,Economy,3,None,Mobile App,4.6,7.0,70,0,1,Middle
P148,F1414,Delta,DFW,JFK,2024-02-26 08:20:09,181,Cancelled,725,272.76,24,Female,High,Emergency,Business,1,Gold,Airport Kiosk,3.1,19.0,27,0,0,Aisle
P149,F56,American Airlines,ATL,ORD,2024-06-06 18:03:39,172,On-time,1488,275.29,72,Female,Medium,Business,Business,1,Gold,Online,8.8,11.0,90,0,0,Middle
P150,F437,Southwest,LAX,DFW,2023-09-22 02:27:38,283,On-time,1529,296.31,41,Male,Low,Family,Economy,1,Silver,Mobile App,9.3,7.0,63,0,1,Middle
